"COOK, IL  [COUNTY, 17031]"
"[see data note at the bottom of this file]"
" ",1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
"    ASIAN AMERICAN and PACIFIC ISLANDER NON-HISPANIC FEMALE POPULATION AGE 43 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",1.694,1.766,1.831,1.867,1.937,1.833,2.001,2.048,2.085,2.102,2.071,2.100,1.995,2.266,2.078,2.056,2.212,2.290,2.332,2.352,2.237,2.521,2.763,3.073,3.136,3.183,3.033,3.153,3.184,3.076,3.344,3.455,3.471,3.687,3.803,3.966,4.088,4.125,4.177,4.097,4.293,4.436,4.433,4.464,4.964,4.833,4.401,4.291,4.223,4.267,3.841,3.660,3.794,3.828,3.827,4.030,4.037,4.341,4.313,4.054,4.263,4.333,4.323,4.564,5.165,5.247,5.544,5.390,5.706,5.490,5.835
"    ASIAN AMERICAN and PACIFIC ISLANDER NON-HISPANIC FEMALE POPULATION AGE 44 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",1.442,1.627,1.719,1.791,1.824,1.897,1.830,2.011,2.074,2.115,2.142,2.086,2.070,1.942,2.189,1.976,1.923,2.066,2.138,2.145,2.180,2.257,2.534,2.789,3.086,3.133,3.176,3.072,3.151,3.193,3.067,3.327,3.368,3.428,3.642,3.758,3.919,4.041,4.077,4.129,4.051,4.248,4.388,4.386,4.416,4.916,4.784,4.355,4.249,4.176,4.220,3.794,3.617,3.751,3.785,3.781,3.976,3.984,4.284,4.255,4.002,4.209,4.279,4.273,4.507,5.113,5.193,5.493,5.344,5.659,5.448
"  ASIAN AMERICAN and PACIFIC ISLANDER NON-HISPANIC FEMALE POPULATION AGE 45 to 49 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",6.157,6.575,7.202,7.851,8.463,8.898,9.387,9.550,9.874,10.065,10.289,10.615,10.791,10.864,10.718,10.589,10.439,10.455,10.603,10.998,11.089,11.372,11.701,12.020,12.442,13.235,14.000,14.805,15.219,15.489,15.437,15.542,15.677,16.238,16.660,17.251,18.036,18.680,19.359,20.009,20.504,20.809,21.136,21.486,21.792,22.075,22.951,23.495,23.476,23.361,23.135,22.426,21.414,20.669,20.162,19.762,19.311,19.485,19.856,20.398,20.876,21.113,21.354,21.660,21.654,21.915,23.049,24.070,25.319,26.434,27.640
"    ASIAN AMERICAN and PACIFIC ISLANDER NON-HISPANIC FEMALE POPULATION AGE 45 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",1.394,1.478,1.680,1.787,1.868,1.915,2.000,1.936,2.158,2.199,2.244,2.153,2.093,2.079,1.941,2.182,1.984,1.985,2.138,2.206,2.220,2.204,2.299,2.563,2.809,3.088,3.131,3.166,3.025,3.104,3.163,3.077,3.330,3.415,3.475,3.692,3.807,3.970,4.092,4.127,4.180,4.101,4.299,4.441,4.439,4.470,4.974,4.842,4.407,4.298,4.227,4.270,3.841,3.661,3.794,3.829,3.825,4.022,4.031,4.335,4.306,4.049,4.258,4.330,4.323,4.561,5.172,5.256,5.559,5.408,5.728
"    ASIAN AMERICAN and PACIFIC ISLANDER NON-HISPANIC FEMALE POPULATION AGE 46 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",1.212,1.366,1.439,1.640,1.731,1.814,1.868,1.937,1.880,2.061,2.146,2.243,2.178,2.120,2.121,1.987,2.275,2.086,2.127,2.286,2.332,2.261,2.249,2.306,2.568,2.806,3.071,3.135,3.145,3.017,3.050,3.175,3.063,3.358,3.444,3.506,3.722,3.835,4.000,4.121,4.160,4.212,4.128,4.329,4.468,4.461,4.495,5.004,4.878,4.447,4.337,4.265,4.311,3.887,3.707,3.840,3.875,3.867,4.064,4.077,4.383,4.354,4.095,4.308,4.383,4.379,4.612,5.236,5.319,5.625,5.473
"    ASIAN AMERICAN and PACIFIC ISLANDER NON-HISPANIC FEMALE POPULATION AGE 47 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",1.207,1.315,1.467,1.549,1.751,1.815,1.904,1.926,1.973,1.896,2.006,2.168,2.275,2.211,2.136,2.140,1.998,2.307,2.116,2.150,2.319,2.394,2.298,2.271,2.330,2.560,2.823,3.079,3.129,3.145,2.988,3.168,3.176,3.104,3.403,3.490,3.552,3.770,3.883,4.048,4.171,4.211,4.261,4.177,4.380,4.519,4.513,4.548,5.062,4.935,4.497,4.387,4.314,4.361,3.931,3.749,3.884,3.920,3.912,4.111,4.125,4.434,4.404,4.143,4.358,4.434,4.429,4.667,5.297,5.382,5.690
"    ASIAN AMERICAN and PACIFIC ISLANDER NON-HISPANIC FEMALE POPULATION AGE 48 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",1.089,1.166,1.281,1.438,1.525,1.713,1.785,1.881,1.905,1.967,1.980,2.033,2.177,2.289,2.220,2.076,2.099,1.957,2.250,2.047,2.110,2.373,2.464,2.363,2.341,2.377,2.588,2.808,3.086,3.114,3.128,2.968,3.133,3.181,3.109,3.408,3.496,3.558,3.776,3.886,4.053,4.176,4.216,4.267,4.182,4.387,4.524,4.518,4.553,5.069,4.940,4.501,4.390,4.315,4.360,3.928,3.747,3.881,3.918,3.907,4.104,4.117,4.424,4.395,4.135,4.350,4.427,4.425,4.660,5.297,5.380
"    ASIAN AMERICAN and PACIFIC ISLANDER NON-HISPANIC FEMALE POPULATION AGE 49 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",1.255,1.250,1.335,1.437,1.588,1.641,1.830,1.870,1.958,1.942,1.913,2.018,2.068,2.165,2.300,2.204,2.083,2.120,1.972,2.309,2.108,2.140,2.391,2.517,2.394,2.404,2.387,2.617,2.834,3.109,3.108,3.154,2.975,3.180,3.229,3.155,3.459,3.547,3.608,3.827,3.940,4.109,4.232,4.272,4.323,4.238,4.445,4.583,4.576,4.612,5.134,5.003,4.558,4.445,4.370,4.416,3.980,3.795,3.931,3.968,3.958,4.159,4.173,4.484,4.455,4.191,4.409,4.486,4.484,4.722,5.369
"  ASIAN AMERICAN and PACIFIC ISLANDER NON-HISPANIC FEMALE POPULATION AGE 50 to 54 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",4.553,5.042,5.508,5.942,6.438,6.854,7.174,7.755,8.345,8.872,9.329,9.714,9.881,10.087,10.304,10.461,10.764,10.947,11.043,10.913,10.957,11.089,11.201,11.460,11.833,11.919,12.094,12.342,12.475,12.728,13.359,14.191,14.991,15.600,16.118,16.291,16.373,16.718,17.298,17.734,18.345,19.158,19.824,20.531,21.218,21.737,22.049,22.389,22.743,23.053,23.344,24.259,24.836,24.823,24.688,24.435,23.674,22.612,21.825,21.282,20.857,20.376,20.555,20.944,21.505,22.004,22.253,22.510,22.836,22.841,23.114
"    ASIAN AMERICAN and PACIFIC ISLANDER NON-HISPANIC FEMALE POPULATION AGE 50 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",1.111,1.221,1.234,1.334,1.449,1.613,1.688,1.899,1.971,2.081,2.106,1.911,1.990,2.041,2.143,2.242,2.188,2.052,2.110,1.950,2.241,2.171,2.190,2.437,2.578,2.431,2.423,2.419,2.646,2.857,3.124,3.147,3.151,3.013,3.218,3.268,3.192,3.499,3.585,3.648,3.869,3.983,4.153,4.276,4.316,4.369,4.281,4.490,4.631,4.623,4.658,5.184,5.053,4.604,4.488,4.413,4.461,4.020,3.834,3.970,4.007,3.998,4.201,4.216,4.529,4.499,4.235,4.455,4.533,4.531,4.771
"    ASIAN AMERICAN and PACIFIC ISLANDER NON-HISPANIC FEMALE POPULATION AGE 51 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.892,1.083,1.193,1.186,1.276,1.353,1.498,1.554,1.752,1.793,1.901,2.140,1.943,2.028,2.100,2.232,2.345,2.317,2.189,2.268,2.143,2.264,2.194,2.192,2.420,2.538,2.419,2.419,2.387,2.614,2.815,3.233,3.204,3.250,3.106,3.316,3.365,3.288,3.602,3.690,3.755,3.981,4.095,4.271,4.397,4.440,4.492,4.400,4.614,4.756,4.747,4.784,5.323,5.188,4.724,4.606,4.527,4.575,4.124,3.934,4.073,4.111,4.100,4.305,4.320,4.639,4.609,4.337,4.563,4.645,4.642
"    ASIAN AMERICAN and PACIFIC ISLANDER NON-HISPANIC FEMALE POPULATION AGE 52 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.897,0.911,1.125,1.234,1.216,1.303,1.364,1.516,1.580,1.768,1.858,1.929,2.142,1.951,1.990,2.077,2.186,2.306,2.255,2.161,2.193,2.195,2.312,2.234,2.224,2.464,2.550,2.439,2.422,2.380,2.626,2.870,3.231,3.245,3.290,3.145,3.356,3.406,3.326,3.643,3.732,3.797,4.025,4.140,4.317,4.445,4.487,4.540,4.446,4.663,4.806,4.796,4.833,5.378,5.240,4.772,4.652,4.574,4.623,4.167,3.975,4.115,4.154,4.143,4.350,4.366,4.689,4.658,4.384,4.613,4.695
"    ASIAN AMERICAN and PACIFIC ISLANDER NON-HISPANIC FEMALE POPULATION AGE 53 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.834,0.926,0.950,1.179,1.289,1.271,1.351,1.444,1.614,1.663,1.846,1.865,1.921,2.116,1.951,1.958,2.062,2.173,2.270,2.216,2.134,2.251,2.225,2.330,2.236,2.222,2.474,2.566,2.438,2.421,2.348,2.589,2.841,3.240,3.253,3.298,3.152,3.363,3.412,3.332,3.649,3.738,3.802,4.031,4.147,4.325,4.452,4.494,4.546,4.453,4.669,4.813,4.802,4.839,5.385,5.245,4.776,4.656,4.577,4.625,4.168,3.977,4.116,4.155,4.143,4.349,4.365,4.688,4.659,4.385,4.614
"    ASIAN AMERICAN and PACIFIC ISLANDER NON-HISPANIC FEMALE POPULATION AGE 54 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.819,0.901,1.006,1.009,1.208,1.314,1.273,1.342,1.428,1.567,1.618,1.869,1.885,1.951,2.120,1.952,1.983,2.099,2.219,2.318,2.246,2.208,2.280,2.267,2.375,2.264,2.228,2.499,2.582,2.456,2.446,2.352,2.564,2.852,3.251,3.264,3.308,3.162,3.373,3.421,3.340,3.659,3.749,3.813,4.041,4.158,4.337,4.465,4.506,4.558,4.464,4.682,4.825,4.814,4.851,5.399,5.258,4.787,4.667,4.586,4.634,4.175,3.984,4.125,4.163,4.151,4.355,4.372,4.697,4.667,4.392
"  ASIAN AMERICAN and PACIFIC ISLANDER NON-HISPANIC FEMALE POPULATION AGE 55 to 59 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",3.327,3.564,3.949,4.327,4.689,5.118,5.521,5.802,6.133,6.542,6.895,7.197,7.769,8.425,8.887,9.489,9.818,9.989,10.264,10.643,10.857,11.268,11.545,11.754,11.727,11.703,11.654,11.695,11.870,12.119,12.162,12.084,12.099,12.192,12.521,13.383,14.281,15.269,15.865,16.385,16.549,16.619,16.966,17.550,17.986,18.604,19.424,20.100,20.810,21.501,22.023,22.322,22.662,23.021,23.323,23.614,24.546,25.121,25.083,24.939,24.677,23.907,22.822,22.021,21.476,21.052,20.564,20.742,21.122,21.688,22.179
"    ASIAN AMERICAN and PACIFIC ISLANDER NON-HISPANIC FEMALE POPULATION AGE 55 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.749,0.812,0.901,0.989,0.985,1.176,1.277,1.228,1.311,1.386,1.516,1.642,1.890,1.918,1.990,2.165,2.026,2.080,2.211,2.349,2.414,2.311,2.252,2.302,2.281,2.404,2.266,2.234,2.507,2.565,2.450,2.381,2.310,2.553,2.838,3.236,3.248,3.292,3.145,3.356,3.405,3.324,3.641,3.730,3.793,4.021,4.138,4.317,4.443,4.483,4.537,4.443,4.660,4.803,4.793,4.829,5.375,5.233,4.764,4.646,4.562,4.610,4.152,3.963,4.102,4.141,4.127,4.328,4.345,4.670,4.641
"    ASIAN AMERICAN and PACIFIC ISLANDER NON-HISPANIC FEMALE POPULATION AGE 56 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.638,0.736,0.814,0.904,0.987,0.987,1.186,1.278,1.263,1.348,1.437,1.520,1.641,1.896,1.877,1.927,2.114,1.987,2.021,2.145,2.267,2.407,2.323,2.246,2.301,2.295,2.434,2.301,2.251,2.537,2.587,2.405,2.350,2.311,2.552,2.838,3.234,3.246,3.289,3.141,3.352,3.400,3.319,3.635,3.724,3.789,4.017,4.132,4.309,4.435,4.478,4.528,4.434,4.652,4.793,4.781,4.819,5.365,5.223,4.754,4.636,4.553,4.601,4.144,3.956,4.095,4.135,4.120,4.317,4.336,4.659
"    ASIAN AMERICAN and PACIFIC ISLANDER NON-HISPANIC FEMALE POPULATION AGE 57 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.672,0.681,0.785,0.873,0.951,1.031,1.018,1.199,1.300,1.272,1.319,1.424,1.515,1.629,1.881,1.874,1.910,2.113,1.962,2.010,2.130,2.301,2.448,2.340,2.265,2.314,2.311,2.448,2.304,2.259,2.536,2.548,2.387,2.363,2.323,2.566,2.853,3.251,3.261,3.304,3.156,3.367,3.415,3.333,3.650,3.740,3.803,4.032,4.148,4.326,4.452,4.493,4.544,4.450,4.667,4.809,4.796,4.834,5.383,5.240,4.772,4.654,4.570,4.618,4.160,3.972,4.111,4.152,4.136,4.333,4.353
"    ASIAN AMERICAN and PACIFIC ISLANDER NON-HISPANIC FEMALE POPULATION AGE 58 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.565,0.668,0.672,0.785,0.872,0.944,1.008,1.008,1.191,1.290,1.319,1.303,1.440,1.541,1.650,1.910,1.891,1.944,2.160,2.014,2.061,2.167,2.334,2.485,2.386,2.285,2.360,2.357,2.450,2.330,2.288,2.533,2.541,2.412,2.387,2.346,2.590,2.879,3.280,3.290,3.332,3.183,3.396,3.444,3.361,3.680,3.771,3.834,4.063,4.181,4.360,4.485,4.527,4.578,4.482,4.702,4.845,4.833,4.870,5.421,5.276,4.804,4.685,4.599,4.647,4.185,3.995,4.136,4.177,4.160,4.355
"    ASIAN AMERICAN and PACIFIC ISLANDER NON-HISPANIC FEMALE POPULATION AGE 59 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.703,0.667,0.777,0.776,0.894,0.980,1.032,1.089,1.068,1.246,1.304,1.308,1.283,1.441,1.489,1.613,1.877,1.865,1.910,2.125,1.985,2.082,2.188,2.381,2.494,2.405,2.283,2.355,2.358,2.428,2.301,2.217,2.511,2.553,2.421,2.397,2.356,2.601,2.890,3.294,3.304,3.345,3.195,3.408,3.458,3.374,3.695,3.785,3.847,4.076,4.196,4.373,4.497,4.538,4.588,4.493,4.711,4.856,4.843,4.878,5.431,5.286,4.814,4.697,4.611,4.659,4.196,4.006,4.147,4.189,4.171
"  ASIAN AMERICAN and PACIFIC ISLANDER NON-HISPANIC FEMALE POPULATION AGE 60 to 64 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",3.028,3.187,3.335,3.571,3.777,4.007,4.159,4.508,4.730,4.948,5.177,5.489,5.889,6.149,6.488,6.687,7.043,7.656,8.289,8.823,9.425,9.960,10.282,10.663,11.121,11.517,11.864,11.986,12.099,11.904,11.713,11.626,11.527,11.747,12.075,12.119,12.246,12.415,12.494,12.823,13.696,14.611,15.613,16.222,16.742,16.908,16.978,17.325,17.918,18.352,18.968,19.794,20.471,21.190,21.881,22.396,22.697,23.030,23.393,23.699,23.994,24.942,25.526,25.491,25.353,25.089,24.308,23.215,22.402,21.843,21.414
"    ASIAN AMERICAN and PACIFIC ISLANDER NON-HISPANIC FEMALE POPULATION AGE 60 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.635,0.707,0.675,0.804,0.799,0.933,1.002,1.084,1.141,1.132,1.276,1.310,1.305,1.266,1.447,1.487,1.608,1.880,1.842,1.912,2.101,2.027,2.126,2.218,2.407,2.525,2.417,2.285,2.369,2.353,2.431,2.290,2.180,2.501,2.542,2.412,2.387,2.344,2.588,2.876,3.278,3.288,3.330,3.179,3.391,3.441,3.357,3.676,3.764,3.826,4.053,4.173,4.349,4.473,4.512,4.561,4.469,4.686,4.831,4.816,4.852,5.403,5.258,4.790,4.673,4.586,4.634,4.174,3.985,4.126,4.167
"    ASIAN AMERICAN and PACIFIC ISLANDER NON-HISPANIC FEMALE POPULATION AGE 61 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.578,0.624,0.694,0.652,0.779,0.768,0.868,0.931,0.990,1.031,1.034,1.254,1.293,1.310,1.263,1.468,1.499,1.616,1.916,1.926,1.967,2.109,2.041,2.157,2.237,2.432,2.549,2.395,2.255,2.341,2.332,2.451,2.313,2.230,2.559,2.600,2.466,2.440,2.397,2.645,2.940,3.349,3.358,3.401,3.248,3.463,3.514,3.428,3.752,3.841,3.905,4.136,4.256,4.436,4.560,4.602,4.650,4.554,4.776,4.923,4.908,4.945,5.506,5.359,4.883,4.762,4.675,4.723,4.257,4.064,4.207
"    ASIAN AMERICAN and PACIFIC ISLANDER NON-HISPANIC FEMALE POPULATION AGE 62 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.580,0.606,0.654,0.733,0.685,0.794,0.769,0.879,0.920,0.973,1.001,1.044,1.273,1.274,1.299,1.254,1.479,1.501,1.605,1.916,1.926,1.994,2.167,2.092,2.175,2.260,2.454,2.594,2.421,2.270,2.350,2.279,2.396,2.290,2.207,2.533,2.573,2.440,2.414,2.371,2.618,2.909,3.315,3.324,3.366,3.214,3.429,3.479,3.394,3.714,3.803,3.865,4.094,4.215,4.392,4.515,4.556,4.604,4.511,4.730,4.877,4.863,4.900,5.458,5.310,4.838,4.720,4.634,4.683,4.218,4.027
"    ASIAN AMERICAN and PACIFIC ISLANDER NON-HISPANIC FEMALE POPULATION AGE 63 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.588,0.611,0.626,0.679,0.744,0.682,0.765,0.745,0.836,0.856,0.897,0.989,1.038,1.261,1.253,1.261,1.217,1.459,1.482,1.576,1.866,1.961,2.019,2.185,2.126,2.193,2.268,2.473,2.603,2.400,2.264,2.376,2.284,2.433,2.326,2.241,2.572,2.612,2.476,2.449,2.405,2.654,2.950,3.361,3.369,3.413,3.258,3.476,3.525,3.439,3.762,3.851,3.914,4.145,4.266,4.446,4.570,4.610,4.659,4.565,4.786,4.936,4.920,4.957,5.522,5.372,4.897,4.777,4.689,4.737,4.267
"    ASIAN AMERICAN and PACIFIC ISLANDER NON-HISPANIC FEMALE POPULATION AGE 64 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.647,0.639,0.686,0.703,0.770,0.830,0.755,0.869,0.843,0.956,0.969,0.892,0.980,1.038,1.226,1.217,1.240,1.200,1.444,1.493,1.565,1.869,1.929,2.011,2.176,2.107,2.176,2.239,2.451,2.540,2.336,2.230,2.354,2.293,2.441,2.333,2.248,2.579,2.619,2.482,2.455,2.411,2.660,2.957,3.368,3.377,3.420,3.266,3.483,3.532,3.445,3.769,3.858,3.921,4.151,4.272,4.452,4.576,4.616,4.665,4.571,4.795,4.942,4.927,4.965,5.531,5.382,4.907,4.788,4.698,4.746
"  ASIAN AMERICAN and PACIFIC ISLANDER NON-HISPANIC FEMALE POPULATION AGE 65 to 69 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",2.752,2.878,2.993,3.110,3.213,3.290,3.357,3.411,3.519,3.582,3.704,3.978,4.129,4.365,4.672,5.002,5.214,5.572,5.842,6.291,6.627,7.015,7.649,8.311,8.927,9.615,10.149,10.408,10.668,11.054,11.344,11.168,10.965,11.025,10.874,10.856,10.853,10.883,11.100,11.388,11.415,11.525,11.653,11.724,12.047,12.877,13.734,14.660,15.200,15.670,15.820,15.877,16.218,16.773,17.169,17.750,18.504,19.149,19.816,20.462,20.935,21.198,21.526,21.875,22.168,22.473,23.387,23.928,23.867,23.725,23.437
"    ASIAN AMERICAN and PACIFIC ISLANDER NON-HISPANIC FEMALE POPULATION AGE 65 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.625,0.657,0.648,0.684,0.689,0.741,0.792,0.717,0.819,0.785,0.869,0.970,0.881,0.978,1.022,1.203,1.213,1.259,1.237,1.464,1.518,1.549,1.862,1.940,2.026,2.192,2.086,2.176,2.227,2.438,2.524,2.289,2.131,2.278,2.217,2.362,2.255,2.175,2.495,2.531,2.399,2.372,2.329,2.569,2.855,3.250,3.258,3.299,3.148,3.361,3.405,3.323,3.635,3.724,3.783,4.006,4.119,4.296,4.414,4.456,4.503,4.411,4.632,4.767,4.751,4.792,5.345,5.200,4.739,4.624,4.532
"    ASIAN AMERICAN and PACIFIC ISLANDER NON-HISPANIC FEMALE POPULATION AGE 66 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.542,0.602,0.643,0.620,0.655,0.654,0.691,0.730,0.659,0.758,0.742,0.848,0.935,0.877,0.969,0.983,1.166,1.169,1.234,1.196,1.413,1.532,1.564,1.858,1.946,2.033,2.208,2.058,2.159,2.212,2.421,2.336,2.186,2.060,2.202,2.144,2.283,2.182,2.099,2.408,2.443,2.314,2.287,2.244,2.476,2.752,3.136,3.142,3.182,3.034,3.245,3.290,3.204,3.508,3.592,3.646,3.864,3.980,4.147,4.263,4.296,4.345,4.262,4.477,4.613,4.598,4.632,5.171,5.022,4.571,4.463
"    ASIAN AMERICAN and PACIFIC ISLANDER NON-HISPANIC FEMALE POPULATION AGE 67 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.532,0.538,0.601,0.628,0.618,0.642,0.638,0.691,0.730,0.659,0.740,0.731,0.831,0.953,0.887,0.988,1.004,1.209,1.215,1.289,1.287,1.419,1.520,1.579,1.864,1.970,2.057,2.211,2.065,2.169,2.210,2.296,2.289,2.169,2.043,2.183,2.125,2.262,2.161,2.078,2.383,2.417,2.289,2.262,2.218,2.448,2.721,3.101,3.105,3.145,2.997,3.205,3.250,3.165,3.464,3.547,3.599,3.815,3.929,4.093,4.208,4.241,4.287,4.208,4.418,4.554,4.540,4.573,5.103,4.952,4.505
