"WILL, IL  [COUNTY, 17197]"
"[see data note at the bottom of this file]"
" ",1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
"    HISPANIC or LATINO POPULATION of ANY RACE AGE 47 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.178,0.178,0.196,0.217,0.251,0.260,0.282,0.308,0.345,0.361,0.415,0.478,0.556,0.574,0.705,0.776,0.843,1.054,1.019,1.125,1.196,1.288,1.373,1.389,1.429,1.472,1.559,1.713,1.699,1.755,1.877,1.913,1.980,1.969,1.977,1.930,2.013,2.159,2.015,2.118,2.141,2.153,2.237,2.125,2.079,2.146,2.053,2.290,2.384,2.471,2.671,2.590,2.853,2.916,3.075,3.290,3.443,3.706,4.108,4.169,4.059,4.370,4.585,4.703,4.575,4.768,4.571,4.875,4.579,4.459,4.516
"    HISPANIC or LATINO POPULATION of ANY RACE AGE 48 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.153,0.175,0.171,0.189,0.203,0.231,0.234,0.249,0.268,0.298,0.319,0.425,0.502,0.589,0.602,0.717,0.781,0.839,1.024,0.963,1.066,1.172,1.263,1.356,1.360,1.417,1.469,1.560,1.701,1.677,1.731,1.881,1.886,1.980,1.971,1.976,1.931,2.015,2.159,2.014,2.118,2.141,2.157,2.239,2.127,2.082,2.149,2.055,2.296,2.392,2.479,2.680,2.598,2.863,2.929,3.086,3.304,3.458,3.721,4.127,4.190,4.079,4.393,4.608,4.729,4.601,4.797,4.598,4.904,4.603,4.483
"    HISPANIC or LATINO POPULATION of ANY RACE AGE 49 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.151,0.152,0.180,0.183,0.203,0.230,0.264,0.275,0.300,0.333,0.368,0.349,0.439,0.535,0.637,0.664,0.780,0.822,0.857,1.057,0.991,1.060,1.149,1.256,1.309,1.352,1.416,1.482,1.573,1.685,1.675,1.772,1.911,1.944,2.041,2.030,2.035,1.989,2.074,2.223,2.073,2.180,2.204,2.219,2.304,2.188,2.141,2.209,2.113,2.360,2.459,2.547,2.754,2.671,2.942,3.007,3.169,3.392,3.551,3.820,4.236,4.301,4.185,4.507,4.727,4.848,4.718,4.916,4.712,5.023,4.716
"  HISPANIC or LATINO POPULATION of ANY RACE AGE 50 to 54 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.659,0.686,0.720,0.784,0.830,0.906,0.986,1.091,1.188,1.313,1.464,1.651,1.801,1.992,2.323,2.668,3.003,3.462,3.767,3.928,4.194,4.425,4.647,4.957,5.299,5.582,5.990,6.380,6.686,7.000,7.333,7.728,8.086,8.631,9.079,9.498,9.865,10.160,10.243,10.372,10.550,10.597,10.749,10.974,11.125,11.201,11.320,11.287,11.296,11.192,11.250,11.525,11.943,12.501,13.079,13.679,14.241,14.877,15.528,16.433,17.331,18.590,19.754,20.576,21.562,22.502,23.130,23.561,24.311,24.521,24.808
"    HISPANIC or LATINO POPULATION of ANY RACE AGE 50 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.143,0.157,0.155,0.184,0.187,0.210,0.233,0.266,0.280,0.307,0.340,0.377,0.355,0.463,0.563,0.654,0.692,0.802,0.823,0.826,0.980,0.972,1.035,1.134,1.236,1.298,1.347,1.414,1.457,1.547,1.696,1.693,1.747,1.911,1.943,2.040,2.029,2.034,1.989,2.073,2.222,2.072,2.179,2.205,2.219,2.304,2.189,2.142,2.210,2.115,2.363,2.462,2.552,2.760,2.675,2.948,3.014,3.176,3.401,3.559,3.829,4.248,4.313,4.197,4.520,4.741,4.863,4.732,4.932,4.726,5.037
"    HISPANIC or LATINO POPULATION of ANY RACE AGE 51 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.145,0.145,0.158,0.160,0.182,0.188,0.208,0.226,0.254,0.266,0.299,0.364,0.393,0.372,0.509,0.609,0.697,0.741,0.838,0.838,0.877,0.963,0.969,1.048,1.133,1.208,1.294,1.354,1.398,1.456,1.531,1.673,1.691,1.771,1.937,1.968,2.067,2.055,2.061,2.013,2.098,2.251,2.101,2.208,2.233,2.247,2.333,2.217,2.169,2.238,2.144,2.393,2.493,2.585,2.794,2.710,2.987,3.052,3.218,3.445,3.607,3.881,4.303,4.370,4.256,4.582,4.805,4.928,4.793,4.996,4.786
"    HISPANIC or LATINO POPULATION of ANY RACE AGE 52 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.129,0.137,0.140,0.156,0.156,0.184,0.186,0.208,0.228,0.261,0.279,0.310,0.390,0.425,0.397,0.527,0.632,0.720,0.735,0.815,0.816,0.871,0.969,0.949,1.024,1.117,1.200,1.286,1.340,1.366,1.429,1.561,1.663,1.706,1.786,1.952,1.984,2.085,2.071,2.078,2.029,2.115,2.271,2.118,2.228,2.251,2.264,2.353,2.238,2.186,2.258,2.163,2.414,2.514,2.607,2.820,2.733,3.012,3.077,3.245,3.474,3.639,3.917,4.341,4.406,4.297,4.625,4.849,4.974,4.836,5.036
"    HISPANIC or LATINO POPULATION of ANY RACE AGE 53 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.117,0.125,0.136,0.139,0.155,0.155,0.187,0.189,0.212,0.239,0.285,0.306,0.331,0.406,0.434,0.427,0.538,0.665,0.733,0.767,0.797,0.820,0.863,0.977,0.950,1.022,1.127,1.195,1.293,1.331,1.362,1.439,1.550,1.675,1.719,1.800,1.967,1.999,2.101,2.086,2.093,2.045,2.132,2.288,2.134,2.243,2.268,2.283,2.372,2.256,2.206,2.277,2.181,2.435,2.539,2.632,2.845,2.759,3.041,3.108,3.276,3.507,3.673,3.952,4.382,4.450,4.336,4.668,4.894,5.017,4.879
"    HISPANIC or LATINO POPULATION of ANY RACE AGE 54 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.125,0.122,0.131,0.145,0.150,0.169,0.172,0.202,0.214,0.240,0.261,0.294,0.332,0.326,0.420,0.451,0.444,0.534,0.638,0.682,0.724,0.799,0.811,0.849,0.956,0.937,1.022,1.131,1.198,1.300,1.315,1.362,1.435,1.568,1.694,1.738,1.818,1.987,2.021,2.122,2.108,2.114,2.066,2.155,2.311,2.156,2.266,2.292,2.307,2.397,2.279,2.230,2.303,2.207,2.464,2.569,2.662,2.878,2.791,3.076,3.145,3.315,3.548,3.716,3.998,4.432,4.501,4.384,4.718,4.946,5.070
"  HISPANIC or LATINO POPULATION of ANY RACE AGE 55 to 59 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.544,0.567,0.584,0.612,0.649,0.684,0.729,0.775,0.850,0.913,1.010,1.159,1.316,1.492,1.696,1.911,2.101,2.224,2.348,2.601,2.812,3.029,3.315,3.528,3.713,3.988,4.234,4.469,4.786,5.122,5.434,5.824,6.158,6.549,7.024,7.474,7.925,8.405,8.963,9.416,9.847,10.217,10.515,10.590,10.722,10.912,10.962,11.118,11.342,11.493,11.581,11.706,11.676,11.696,11.599,11.673,11.967,12.412,13.002,13.605,14.228,14.812,15.475,16.151,17.085,18.018,19.315,20.514,21.366,22.375,23.328
"    HISPANIC or LATINO POPULATION of ANY RACE AGE 55 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.128,0.137,0.130,0.139,0.157,0.162,0.178,0.180,0.210,0.220,0.249,0.269,0.298,0.353,0.358,0.446,0.459,0.458,0.535,0.630,0.676,0.712,0.779,0.798,0.837,0.933,0.921,1.011,1.122,1.178,1.277,1.336,1.366,1.460,1.595,1.722,1.766,1.846,2.017,2.050,2.152,2.135,2.144,2.093,2.181,2.341,2.184,2.296,2.320,2.332,2.426,2.309,2.256,2.331,2.234,2.494,2.596,2.693,2.912,2.822,3.109,3.177,3.348,3.583,3.751,4.038,4.472,4.541,4.427,4.762,4.988
"    HISPANIC or LATINO POPULATION of ANY RACE AGE 56 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.118,0.129,0.134,0.130,0.134,0.146,0.154,0.166,0.167,0.194,0.199,0.264,0.287,0.318,0.383,0.374,0.466,0.467,0.475,0.544,0.624,0.665,0.711,0.776,0.802,0.830,0.936,0.928,1.010,1.112,1.185,1.289,1.318,1.366,1.460,1.595,1.724,1.767,1.849,2.018,2.051,2.155,2.137,2.146,2.096,2.184,2.345,2.186,2.298,2.324,2.339,2.430,2.314,2.263,2.338,2.241,2.503,2.608,2.704,2.923,2.835,3.124,3.193,3.363,3.599,3.769,4.056,4.493,4.562,4.444,4.782
"    HISPANIC or LATINO POPULATION of ANY RACE AGE 57 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.116,0.116,0.125,0.134,0.131,0.141,0.153,0.161,0.180,0.180,0.216,0.209,0.279,0.300,0.338,0.417,0.390,0.480,0.498,0.502,0.562,0.615,0.660,0.695,0.764,0.798,0.832,0.928,0.910,1.008,1.104,1.158,1.295,1.342,1.391,1.486,1.622,1.751,1.795,1.877,2.049,2.081,2.185,2.167,2.176,2.124,2.213,2.375,2.215,2.327,2.351,2.366,2.459,2.344,2.291,2.366,2.268,2.533,2.639,2.738,2.956,2.868,3.159,3.228,3.399,3.637,3.805,4.095,4.536,4.604,4.483
"    HISPANIC or LATINO POPULATION of ANY RACE AGE 58 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.082,0.092,0.094,0.104,0.112,0.112,0.122,0.138,0.149,0.166,0.176,0.228,0.216,0.294,0.322,0.347,0.423,0.389,0.460,0.480,0.486,0.553,0.615,0.645,0.671,0.763,0.783,0.812,0.938,0.900,0.978,1.086,1.122,1.272,1.320,1.367,1.461,1.596,1.724,1.766,1.848,2.018,2.052,2.153,2.138,2.145,2.095,2.183,2.343,2.186,2.297,2.322,2.340,2.433,2.318,2.268,2.343,2.245,2.510,2.620,2.717,2.934,2.848,3.137,3.206,3.375,3.613,3.780,4.068,4.507,4.577
"    HISPANIC or LATINO POPULATION of ANY RACE AGE 59 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.100,0.093,0.101,0.105,0.115,0.123,0.122,0.130,0.144,0.153,0.170,0.189,0.236,0.227,0.295,0.327,0.363,0.430,0.380,0.445,0.464,0.484,0.550,0.614,0.639,0.664,0.762,0.790,0.806,0.924,0.890,0.955,1.057,1.109,1.258,1.304,1.352,1.445,1.578,1.705,1.747,1.828,1.997,2.031,2.131,2.118,2.125,2.078,2.166,2.324,2.168,2.279,2.307,2.325,2.418,2.304,2.257,2.333,2.237,2.502,2.611,2.709,2.927,2.840,3.130,3.199,3.369,3.605,3.773,4.058,4.498
"  HISPANIC or LATINO POPULATION of ANY RACE AGE 60 to 64 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.400,0.423,0.429,0.452,0.472,0.495,0.523,0.553,0.591,0.627,0.670,0.745,0.856,0.997,1.132,1.307,1.515,1.642,1.750,1.864,1.964,2.100,2.182,2.334,2.525,2.690,2.848,3.166,3.394,3.610,3.857,3.940,4.075,4.359,4.673,5.026,5.453,5.855,6.229,6.678,7.111,7.540,8.003,8.542,8.986,9.404,9.767,10.052,10.132,10.266,10.466,10.525,10.687,10.916,11.081,11.188,11.333,11.332,11.370,11.296,11.399,11.721,12.180,12.781,13.386,14.016,14.600,15.259,15.935,16.856,17.771
"    HISPANIC or LATINO POPULATION of ANY RACE AGE 60 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.095,0.103,0.095,0.106,0.111,0.123,0.130,0.132,0.145,0.159,0.163,0.177,0.211,0.251,0.248,0.319,0.355,0.389,0.453,0.412,0.462,0.471,0.470,0.538,0.616,0.637,0.647,0.748,0.788,0.791,0.911,0.856,0.924,1.039,1.092,1.235,1.282,1.329,1.421,1.552,1.677,1.719,1.801,1.968,2.003,2.100,2.088,2.095,2.049,2.136,2.292,2.142,2.250,2.282,2.301,2.393,2.281,2.236,2.311,2.217,2.482,2.592,2.690,2.906,2.820,3.110,3.180,3.348,3.584,3.749,4.033
"    HISPANIC or LATINO POPULATION of ANY RACE AGE 61 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.090,0.093,0.095,0.093,0.103,0.103,0.115,0.122,0.123,0.131,0.144,0.164,0.186,0.220,0.271,0.252,0.333,0.360,0.375,0.434,0.414,0.462,0.475,0.466,0.532,0.600,0.638,0.673,0.744,0.776,0.799,0.878,0.833,0.914,1.025,1.077,1.219,1.267,1.315,1.404,1.533,1.655,1.699,1.781,1.944,1.979,2.076,2.065,2.071,2.028,2.114,2.268,2.119,2.227,2.260,2.279,2.373,2.263,2.221,2.296,2.201,2.468,2.579,2.676,2.890,2.806,3.095,3.166,3.329,3.566,3.730
"    HISPANIC or LATINO POPULATION of ANY RACE AGE 62 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.081,0.084,0.083,0.089,0.086,0.093,0.095,0.102,0.107,0.105,0.116,0.145,0.157,0.183,0.237,0.281,0.260,0.316,0.335,0.370,0.395,0.421,0.456,0.470,0.453,0.530,0.584,0.658,0.671,0.737,0.755,0.763,0.857,0.827,0.905,1.017,1.068,1.212,1.256,1.303,1.391,1.522,1.643,1.686,1.768,1.930,1.967,2.061,2.051,2.057,2.016,2.103,2.256,2.108,2.216,2.250,2.271,2.364,2.255,2.214,2.290,2.198,2.464,2.576,2.673,2.887,2.803,3.093,3.163,3.325,3.562
"    HISPANIC or LATINO POPULATION of ANY RACE AGE 63 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.071,0.079,0.083,0.086,0.091,0.087,0.096,0.097,0.109,0.115,0.116,0.126,0.161,0.165,0.192,0.244,0.294,0.265,0.303,0.327,0.362,0.387,0.411,0.453,0.478,0.454,0.528,0.569,0.650,0.662,0.740,0.738,0.740,0.844,0.813,0.890,1.000,1.054,1.192,1.236,1.283,1.370,1.498,1.619,1.663,1.743,1.904,1.940,2.034,2.025,2.031,1.992,2.080,2.230,2.084,2.190,2.228,2.249,2.341,2.235,2.196,2.271,2.179,2.446,2.559,2.655,2.868,2.786,3.074,3.144,3.304
"    HISPANIC or LATINO POPULATION of ANY RACE AGE 64 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.063,0.064,0.073,0.078,0.081,0.089,0.087,0.100,0.107,0.117,0.131,0.133,0.141,0.178,0.184,0.211,0.273,0.312,0.284,0.321,0.331,0.359,0.370,0.407,0.446,0.469,0.451,0.518,0.541,0.644,0.652,0.705,0.721,0.735,0.838,0.807,0.884,0.993,1.045,1.183,1.227,1.274,1.362,1.488,1.608,1.652,1.732,1.891,1.927,2.020,2.013,2.020,1.982,2.069,2.220,2.076,2.180,2.220,2.242,2.334,2.230,2.192,2.268,2.177,2.444,2.558,2.654,2.866,2.785,3.072,3.142
"  HISPANIC or LATINO POPULATION of ANY RACE AGE 65 to 69 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.289,0.305,0.325,0.346,0.377,0.407,0.439,0.474,0.507,0.533,0.566,0.609,0.638,0.699,0.771,0.837,0.957,1.053,1.152,1.233,1.305,1.414,1.523,1.605,1.724,1.865,1.983,2.095,2.246,2.380,2.576,2.688,2.906,3.138,3.340,3.557,3.728,3.914,4.178,4.484,4.821,5.233,5.614,5.974,6.412,6.828,7.245,7.695,8.208,8.640,9.042,9.401,9.683,9.780,9.921,10.122,10.192,10.356,10.594,10.771,10.891,11.052,11.074,11.130,11.078,11.196,11.532,11.996,12.598,13.201,13.821
"    HISPANIC or LATINO POPULATION of ANY RACE AGE 65 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.059,0.062,0.065,0.079,0.085,0.091,0.101,0.101,0.119,0.123,0.141,0.116,0.123,0.141,0.181,0.191,0.212,0.263,0.298,0.281,0.308,0.338,0.345,0.375,0.401,0.443,0.468,0.456,0.515,0.546,0.637,0.635,0.689,0.715,0.728,0.830,0.799,0.875,0.982,1.034,1.168,1.213,1.259,1.345,1.471,1.589,1.630,1.709,1.866,1.903,1.993,1.985,1.993,1.956,2.042,2.192,2.050,2.154,2.193,2.217,2.308,2.206,2.170,2.245,2.156,2.421,2.534,2.629,2.837,2.756,3.039
"    HISPANIC or LATINO POPULATION of ANY RACE AGE 66 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.072,0.075,0.080,0.079,0.096,0.101,0.108,0.120,0.116,0.135,0.136,0.144,0.111,0.137,0.145,0.195,0.215,0.219,0.258,0.304,0.288,0.304,0.337,0.339,0.372,0.391,0.434,0.460,0.453,0.501,0.537,0.622,0.627,0.691,0.717,0.729,0.832,0.801,0.877,0.986,1.038,1.173,1.219,1.264,1.354,1.478,1.599,1.641,1.719,1.879,1.914,2.009,2.002,2.012,1.974,2.059,2.212,2.068,2.174,2.214,2.238,2.331,2.229,2.192,2.269,2.180,2.448,2.562,2.659,2.869,2.789
"    HISPANIC or LATINO POPULATION of ANY RACE AGE 67 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.061,0.067,0.068,0.070,0.071,0.084,0.088,0.092,0.102,0.098,0.105,0.144,0.143,0.125,0.154,0.157,0.194,0.201,0.196,0.235,0.267,0.283,0.302,0.336,0.333,0.375,0.391,0.430,0.468,0.443,0.513,0.526,0.606,0.619,0.682,0.709,0.721,0.822,0.791,0.867,0.973,1.025,1.159,1.203,1.248,1.336,1.460,1.578,1.618,1.697,1.854,1.891,1.982,1.977,1.986,1.949,2.034,2.186,2.044,2.148,2.188,2.214,2.306,2.206,2.171,2.246,2.158,2.426,2.540,2.636,2.843
"    HISPANIC or LATINO POPULATION of ANY RACE AGE 68 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.048,0.053,0.057,0.060,0.062,0.063,0.073,0.078,0.081,0.086,0.086,0.118,0.143,0.156,0.125,0.153,0.167,0.198,0.205,0.201,0.234,0.269,0.275,0.287,0.333,0.325,0.369,0.388,0.428,0.464,0.432,0.481,0.516,0.604,0.617,0.680,0.706,0.719,0.820,0.789,0.864,0.971,1.022,1.156,1.201,1.245,1.332,1.456,1.574,1.614,1.693,1.849,1.886,1.977,1.972,1.980,1.945,2.029,2.182,2.040,2.144,2.187,2.212,2.305,2.207,2.172,2.248,2.160,2.429,2.542,2.639
"    HISPANIC or LATINO POPULATION of ANY RACE AGE 69 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.049,0.048,0.055,0.058,0.063,0.068,0.069,0.083,0.089,0.091,0.098,0.087,0.118,0.140,0.166,0.141,0.169,0.172,0.195,0.212,0.208,0.220,0.264,0.268,0.285,0.331,0.321,0.361,0.382,0.426,0.457,0.424,0.468,0.509,0.596,0.609,0.670,0.697,0.708,0.808,0.778,0.851,0.955,1.006,1.138,1.180,1.224,1.311,1.431,1.547,1.588,1.667,1.820,1.858,1.947,1.942,1.951,1.919,2.001,2.152,2.013,2.114,2.157,2.182,2.275,2.177,2.144,2.219,2.133,2.398,2.511
"  HISPANIC or LATINO POPULATION of ANY RACE AGE 70 to 74 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.154,0.172,0.185,0.200,0.222,0.244,0.268,0.284,0.311,0.332,0.353,0.398,0.432,0.515,0.598,0.691,0.727,0.783,0.810,0.832,0.871,0.906,0.958,1.040,1.130,1.233,1.351,1.428,1.534,1.636,1.802,1.865,1.926,2.043,2.184,2.366,2.534,2.779,3.001,3.193,3.402,3.565,3.744,3.997,4.286,4.608,5.001,5.361,5.708,6.124,6.530,6.924,7.357,7.863,8.280,8.671,9.016,9.298,9.393,9.541,9.753,9.829,9.991,10.227,10.416,10.545,10.710,10.749,10.823,10.776,10.909
"    HISPANIC or LATINO POPULATION of ANY RACE AGE 70 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.036,0.043,0.045,0.051,0.054,0.062,0.070,0.071,0.085,0.094,0.098,0.102,0.085,0.125,0.139,0.160,0.136,0.163,0.150,0.165,0.190,0.207,0.220,0.262,0.265,0.280,0.322,0.326,0.368,0.377,0.425,0.439,0.411,0.461,0.502,0.587,0.601,0.661,0.687,0.699,0.798,0.768,0.842,0.944,0.995,1.124,1.170,1.212,1.296,1.418,1.533,1.572,1.652,1.804,1.842,1.930,1.926,1.935,1.903,1.986,2.136,2.000,2.099,2.143,2.171,2.263,2.168,2.135,2.210,2.123,2.390
"    HISPANIC or LATINO POPULATION of ANY RACE AGE 71 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.035,0.039,0.042,0.042,0.049,0.050,0.054,0.057,0.059,0.064,0.069,0.098,0.105,0.098,0.130,0.153,0.188,0.152,0.179,0.175,0.189,0.194,0.205,0.216,0.262,0.263,0.278,0.319,0.319,0.358,0.369,0.408,0.432,0.412,0.460,0.500,0.586,0.598,0.659,0.685,0.696,0.794,0.764,0.837,0.938,0.989,1.117,1.160,1.202,1.286,1.407,1.521,1.561,1.640,1.789,1.827,1.912,1.913,1.920,1.890,1.972,2.120,1.984,2.081,2.128,2.156,2.246,2.153,2.123,2.195,2.108
"    HISPANIC or LATINO POPULATION of ANY RACE AGE 72 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.031,0.032,0.036,0.042,0.044,0.050,0.054,0.058,0.061,0.062,0.071,0.067,0.098,0.096,0.099,0.127,0.144,0.172,0.129,0.152,0.165,0.184,0.198,0.203,0.220,0.266,0.270,0.270,0.327,0.329,0.361,0.362,0.397,0.427,0.407,0.455,0.496,0.580,0.592,0.652,0.677,0.689,0.787,0.756,0.827,0.927,0.979,1.106,1.150,1.192,1.275,1.394,1.507,1.549,1.626,1.775,1.813,1.899,1.896,1.908,1.878,1.959,2.107,1.973,2.071,2.116,2.143,2.235,2.143,2.112,2.185
